property_type,borough,surface_covered_in_m2,price_per_m2,lat,lon,price_aprox_usd
house,Cuauhtémoc,319.0,14800.81505,19.411685,-99.166322,248757.12
apartment,Miguel Hidalgo,105.0,75238.09524,,,416321.92
apartment,Venustiano Carranza,,,19.422588512,-99.0956765413,40832.02
apartment,Cuauhtémoc,66.0,11363.63636,19.461416,-99.133163,39524.23
apartment,Benito Juárez,60.0,33109.3,19.364005,-99.153602,104664.75
apartment,La Magdalena Contreras,184.0,38614.13043,19.3023508,-99.1679459,374337.46
apartment,Benito Juárez,99.0,31313.13131,19.3747920646,-99.137270786,163366.83
apartment,Cuauhtémoc,75.0,20133.33333,19.440749,-99.141649,79575.45
apartment,Cuauhtémoc,55.0,7521.490909,19.45178,-99.15709,21795.44
apartment,Miguel Hidalgo,85.0,61294.11765,19.443333,-99.202983,274496.58
apartment,Benito Juárez,107.0,20943.92523,19.39557,-99.132937,118070.41
apartment,Azcapotzalco,64.0,22656.25,19.478815,-99.196831,76395.4
house,Gustavo A. Madero,210.0,7619.047619,19.546411,-99.130511,84298.37
apartment,Venustiano Carranza,85.0,5461.776471,19.409843,-99.125509,24459.75
apartment,Tlalpan,110.0,5319.327273,19.282895,-99.166933,30835.54
house,Coyoacán,193.0,9699.948187,19.338268,-99.128173,98633.83
house,Benito Juárez,442.0,16538.46154,19.395451,-99.183774,385138.19
house,Iztapalapa,385.0,5194.805195,,,105397.95
house,Iztacalco,150.0,17044.44,19.378562,-99.130993,134733.68
apartment,Coyoacán,,,19.30282,-99.164293,224746.39
apartment,Benito Juárez,85.0,42941.17647,19.401331,-99.154029,192305.66
apartment,Cuauhtémoc,126.0,14682.53968,19.425758,-99.174333,97469.99
apartment,Miguel Hidalgo,115.0,28921.12174,19.428324,-99.176337,175231.5
